날짜,종가,오픈,고가,저가,거래량,변동 %
2013년 8월 19일,"3,589.10","3,601.90","3,623.50","3,589.00",326.25M,-0.38%
2013년 8월 16일,"3,602.80","3,603.80","3,621.50","3,598.60",402.40M,-0.09%
2013년 8월 15일,"3,606.10","3,625.40","3,626.80","3,601.00",388.14M,-1.72%
2013년 8월 14일,"3,669.30","3,684.00","3,686.60","3,668.70",360.84M,-0.41%
2013년 8월 13일,"3,684.40","3,675.40","3,691.10","3,648.80",361.42M,0.39%
2013년 8월 12일,"3,669.90","3,645.80","3,673.50","3,645.40",323.06M,0.27%
2013년 8월 9일,"3,660.10","3,664.30","3,677.80","3,649.70",348.49M,-0.25%
2013년 8월 8일,"3,669.10","3,672.20","3,675.70","3,649.60",374.29M,0.41%
2013년 8월 7일,"3,654.00","3,658.50","3,663.20","3,633.60",376.95M,-0.32%
2013년 8월 6일,"3,665.80","3,685.40","3,690.30","3,654.70",345.09M,-0.74%
2013년 8월 5일,"3,692.90","3,682.70","3,694.20","3,681.30",300.01M,0.09%
2013년 8월 2일,"3,689.60","3,671.10","3,689.60","3,663.90",362.14M,0.38%
2013년 8월 1일,"3,675.70","3,654.20","3,678.50","3,653.70",400.21M,1.36%
2013년 7월 31일,"3,626.40","3,627.70","3,649.40","3,624.80",454.73M,0.27%
2013년 7월 30일,"3,616.50","3,612.40","3,629.10","3,606.30",380.42M,0.48%
2013년 7월 29일,"3,599.10","3,604.30","3,618.90","3,592.80",313.13M,-0.39%
2013년 7월 26일,"3,613.20","3,584.90","3,613.30","3,581.30",388.83M,0.22%
2013년 7월 25일,"3,605.20","3,589.50","3,606.20","3,579.20",491.34M,0.71%
2013년 7월 24일,"3,579.60","3,605.30","3,606.30","3,573.50",416.68M,0.01%
2013년 7월 23일,"3,579.30","3,606.70","3,606.70","3,577.00",362.45M,-0.59%
2013년 7월 22일,"3,600.40","3,599.90","3,601.90","3,587.50",362.97M,0.36%
2013년 7월 19일,"3,587.60","3,581.90","3,589.10","3,578.60",463.03M,-0.66%
2013년 7월 18일,"3,611.30","3,610.00","3,624.50","3,607.10",377.39M,0.04%
2013년 7월 17일,"3,610.00","3,608.10","3,615.80","3,600.70",358.96M,0.32%
2013년 7월 16일,"3,598.50","3,611.00","3,611.40","3,589.60",366.49M,-0.25%
2013년 7월 15일,"3,607.50","3,601.10","3,609.60","3,591.50",333.35M,0.21%
2013년 7월 12일,"3,600.10","3,579.60","3,600.10","3,576.60",420.80M,0.61%
2013년 7월 11일,"3,578.30","3,557.80","3,579.30","3,552.50",403.90M,1.63%
2013년 7월 10일,"3,520.80","3,502.10","3,523.00","3,502.00",372.21M,0.47%
2013년 7월 9일,"3,504.30","3,501.30","3,508.80","3,484.80",385.45M,0.56%
2013년 7월 8일,"3,484.80","3,493.80","3,495.50","3,475.40",380.07M,0.16%
2013년 7월 5일,"3,479.40","3,468.50","3,479.50","3,441.80",311.46M,1.04%
2013년 7월 3일,"3,443.70","3,420.30","3,455.40","3,417.90",230.42M,0.30%
2013년 7월 2일,"3,433.40","3,430.70","3,453.30","3,415.20",397.17M,-0.03%
2013년 7월 1일,"3,434.50","3,430.50","3,454.40","3,430.30",394.86M,0.92%
2013년 6월 28일,"3,403.30","3,389.30","3,422.20","3,382.80",1.13B,0.04%
2013년 6월 27일,"3,401.90","3,395.80","3,412.80","3,395.40",392.16M,0.76%
2013년 6월 26일,"3,376.20","3,375.70","3,383.70","3,365.50",393.98M,0.85%
2013년 6월 25일,"3,347.90","3,350.60","3,358.30","3,327.70",408.55M,0.82%
2013년 6월 24일,"3,320.80","3,326.40","3,344.70","3,294.90",493.60M,-1.09%
2013년 6월 21일,"3,357.30","3,367.80","3,377.30","3,326.90",1.08B,-0.22%
2013년 6월 20일,"3,364.60","3,405.10","3,412.90","3,355.90",496.99M,-2.28%
2013년 6월 19일,"3,443.20","3,483.60","3,485.40","3,443.20",389.86M,-1.12%
2013년 6월 18일,"3,482.20","3,456.30","3,488.30","3,456.10",358.54M,0.87%
2013년 6월 17일,"3,452.10","3,450.00","3,468.60","3,436.30",366.21M,0.83%
2013년 6월 14일,"3,423.60","3,442.30","3,448.40","3,419.30",340.27M,-0.63%
2013년 6월 13일,"3,445.40","3,398.50","3,451.00","3,387.60",361.12M,1.32%
2013년 6월 12일,"3,400.40","3,458.10","3,459.20","3,395.90",358.76M,-1.06%
2013년 6월 11일,"3,436.90","3,436.60","3,466.60","3,426.60",357.18M,-1.06%
2013년 6월 10일,"3,473.80","3,475.70","3,484.80","3,465.50",356.29M,0.13%
2013년 6월 7일,"3,469.20","3,437.80","3,471.70","3,429.40",412.58M,1.32%
2013년 6월 6일,"3,424.10","3,404.40","3,424.10","3,378.20",444.55M,0.66%
2013년 6월 5일,"3,401.50","3,432.90","3,446.10","3,397.90",438.82M,-1.27%
2013년 6월 4일,"3,445.30","3,467.00","3,482.80","3,430.00",456.83M,-0.58%
2013년 6월 3일,"3,465.40","3,460.80","3,465.80","3,419.40",519.27M,0.27%
2013년 5월 31일,"3,455.90","3,478.20","3,500.70","3,455.80",554.18M,-1.01%
2013년 5월 30일,"3,491.30","3,473.20","3,503.80","3,473.00",399.85M,0.69%
2013년 5월 29일,"3,467.50","3,471.70","3,479.50","3,450.40",384.64M,-0.61%
2013년 5월 28일,"3,488.90","3,497.90","3,514.80","3,475.40",420.67M,0.86%
2013년 5월 24일,"3,459.10","3,438.30","3,459.50","3,429.30",344.65M,-0.01%
2013년 5월 23일,"3,459.40","3,426.10","3,467.10","3,422.50",436.89M,-0.11%
2013년 5월 22일,"3,463.30","3,503.50","3,532.00","3,447.00",503.74M,-1.11%
2013년 5월 21일,"3,502.10","3,495.50","3,512.10","3,486.90",401.05M,0.16%
2013년 5월 20일,"3,496.40","3,490.50","3,509.40","3,488.10",405.12M,-0.07%
2013년 5월 17일,"3,499.00","3,483.40","3,499.20","3,473.00",497.13M,0.97%
2013년 5월 16일,"3,465.20","3,473.20","3,485.90","3,462.20",425.36M,-0.18%
2013년 5월 15일,"3,471.60","3,455.70","3,475.50","3,452.30",399.04M,0.26%
2013년 5월 14일,"3,462.60","3,439.70","3,468.70","3,439.70",395.21M,0.69%
2013년 5월 13일,"3,438.80","3,429.50","3,447.10","3,426.70",355.12M,0.06%
2013년 5월 10일,"3,436.60","3,414.80","3,436.60","3,411.60",370.14M,0.80%
2013년 5월 9일,"3,409.20","3,408.90","3,428.50","3,403.40",386.73M,-0.12%
2013년 5월 8일,"3,413.30","3,394.90","3,413.30","3,389.80",384.61M,0.49%
2013년 5월 7일,"3,396.60","3,398.80","3,402.20","3,381.00",376.44M,0.11%
2013년 5월 6일,"3,393.00","3,382.30","3,396.20","3,381.40",334.29M,0.42%
2013년 5월 3일,"3,378.60","3,371.40","3,388.10","3,370.30",388.72M,1.14%
2013년 5월 2일,"3,340.60","3,306.10","3,344.90","3,305.80",394.59M,1.26%
2013년 5월 1일,"3,299.10","3,325.40","3,330.00","3,296.50",458.00M,-0.89%
2013년 4월 30일,"3,328.80","3,308.10","3,328.80","3,298.60",522.65M,0.66%
2013년 4월 29일,"3,307.00","3,290.30","3,315.30","3,289.40",369.13M,0.85%
2013년 4월 26일,"3,279.30","3,284.10","3,287.50","3,268.00",429.90M,-0.33%
2013년 4월 25일,"3,290.00","3,279.80","3,301.30","3,279.30",458.90M,0.62%
2013년 4월 24일,"3,269.60","3,262.20","3,277.10","3,255.40",425.31M,0.01%
